node1,node2,weight
Jorge Ramos y su Banda,Fútbol Picante,62
Jorge Ramos y su Banda,Dream Job ESPN Deportes,57
Myrtle Manor Cecil,Counting On,55
Myrtle Manor Cecil,The Legend of Shelby the Swamp Man,38
Myrtle Manor Cecil,Myrtle Manor Marvin,24
Myrtle Manor Cecil,Cake Boss,5
Myrtle Manor Cecil,Top Gear BBC America,91
Myrtle Manor Cecil,Myrtle Manor,12
Myrtle Manor Cecil,Ax Men on History,15
Myrtle Manor Cecil,Myrtle Manor Becky,42
Myrtle Manor Cecil,Only in America with Larry the Cable Guy,79
Myrtle Manor Cecil,Kate Plus 8,73
Myrtle Manor Cecil,Top Shot on History,48
Myrtle Manor Cecil,Swamp People on History,31
Myrtle Manor Cecil,Myrtle Manor Anne,69
Myrtle Manor Cecil,Modern Marvels,94
Myrtle Manor Cecil,My Big Fat American Gypsy Wedding,38
Myrtle Manor Cecil,Pawn Stars on History,27
Myrtle Manor Cecil,What Not to Wear,75
Myrtle Manor Cecil,LA Ink,72
Myrtle Manor Cecil,The Universe,55
Myrtle Manor Cecil,Buck Commander,64
Myrtle Manor Cecil,Next Great Baker,91
Myrtle Manor Cecil,American Daredevils,37
Myrtle Manor Cecil,Ice Road Truckers on HISTORY,38
Myrtle Manor Cecil,"""God",26
Myrtle Manor Cecil,American Pickers on History,75
Myrtle Manor Cecil,NY Ink,71
Myrtle Manor Cecil,"""Little People",17
Myrtle Manor Cecil,The Little Couple,38
Myrtle Manor Cecil,DC Cupcakes,82
Myrtle Manor Cecil,Geeking Out,34
Myrtle Manor Cecil,Breaking Amish,20
Myrtle Manor Cecil,Miami Ink,25
Myrtle Manor Cecil,Say Yes to the Dress,71
Myrtle Manor Cecil,Mountain Men,86
Myrtle Manor Cecil,Vikings,88
Myrtle Manor Cecil,Return To Amish,12
Myrtle Manor Cecil,Long Island Medium,65
Kevin Can Wait,This Old House,6
Kevin Can Wait,Good Morning America,40
Kevin Can Wait,Kathie Lee and Hoda,38
Kevin Can Wait,Live with Kelly and Ryan,20
The Voice Kids,The Voice Global,56
The Voice Kids,The Voice Portugal,40
FlashForward,Body of Proof,76
FlashForward,Desperate Housewives,48
FlashForward,The Bachelorette,95
FlashForward,Better With You,32
FlashForward,Lost,11
FlashForward,Happy Town,93
FlashForward,V,5
FlashForward,Castle,87
FlashForward,My Generation,22
FlashForward,Dancing with the Stars,90
FlashForward,Happy Endings,94
FlashForward,Brothers and Sisters,21
FlashForward,No Ordinary Family,7
FlashForward,Private Practice,39
FlashForward,Detroit 1-8-7,16
FlashForward,The Bachelor,15
FlashForward,The Middle,25
FlashForward,Off the Map,87
FlashForward,Modern Family,81
CSI: Miami,The Amazing Race,22
CSI: Miami,The Big Bang Theory,80
CSI: Miami,2 Broke Girls,92
CSI: Miami,CSI: Crime Scene Investigation,91
CSI: Miami,NCIS,79
CSI: Miami,How I Met Your Mother,28
CSI: Miami,Two and a Half Men,8
CSI: Miami,CSI: NY,11
CSI: Miami,Let's Make A Deal,68
CSI: Miami,The Mentalist,35
CSI: Miami,Survivor,40
CSI: Miami,Mike & Molly,43
CSI: Miami,Criminal Minds,78
CSI: Miami,Late Show with David Letterman,11
CSI: Miami,Fútbol Permitido,33
CSI: Miami,Ghost Whisperer,53
CSI: Miami,Big Brother,71
CSI: Miami,Medical Center,35
CSI: Miami,The Talk,20
CSI: Miami,Programa Xuxa Meneghel,38
CSI: Miami,This Is Us,50
CSI: Miami,Action News This Morning,19
CSI: Miami,Person of Interest,11
Toute la vérité,Fugueuse,72
Toute la vérité,Téléroman O',40
Toute la vérité,Salut Bonjour,15
Toute la vérité,"""Le Québec ",41
Toute la vérité,Fort Boyard TVA,90
Toute la vérité,Les beaux malaises,41
Toute la vérité,Deux filles le matin,77
Toute la vérité,Destinées productions pixcom,64
Gotham,Wayward Pines,7
Gotham,MasterChef,67
Gotham,Houdini & Doyle,80
Gotham,The X-Files,23
Gotham,The Grinder,49
Gotham,Superhuman,24
Gotham,FOX Teen Choice Awards,39
Gotham,The Four,68
Gotham,The Exorcist FOX,23
Gotham,The Rhode Show,29
Gotham,Pitch,93
Gotham,STAR,36
Gotham,The Orville,56
Gotham,Son of Zorn,80
Gotham,Rosewood,44
Gotham,The Mick,91
Gotham,Wisdom Of The Crowd,91
Gotham,Living Biblically,42
Gotham,Scream Queens,70
Gotham,Bordertown,65
Gotham,Shots Fired,26
Gotham,New Year's Eve on FOX,63
Gotham,New Girl,58
Gotham,Ghosted,66
Gotham,Party Over Here,18
Gotham,The F Word,39
Gotham,Prison Break,7
Gotham,Dude You're Screwed,55
Gotham,Grandfathered,8
Gotham,Il en pense quoi Camille ?,87
Gotham,Ellen's Game of Games,65
Gotham,Lethal Weapon FOX,80
Gotham,Empire,42
Gotham,Second Chance,56
Gotham,Gracepoint,26
Gotham,Backstrom,46
Gotham,So You Think You Can Dance,87
Gotham,Love Connection FOX,75
Gotham,Showtime At The Apollo,56
Gotham,The Simpsons,59
Gotham,Glee,84
Gotham,The Gifted,43
Gotham,World’s Funniest,54
Gotham,MasterChef Junior,7
Gotham,Bones,79
Gotham,Making History,48
Gotham,Coupled,55
Gotham,Home Free FOX,17
Gotham,Sleepy Hollow,35
Gotham,The Resident,28
Gotham,Lucifer,57
Gotham,Hell's Kitchen,61
Gotham,Girlboss,93
Gotham,BOOM,81
Gotham,Kicking & Screaming,26
Gotham,Beat Shazam,95
Gotham,24: Legacy,62
Gotham,Cooper Barrett's Guide to Surviving Life,56
Gotham,You The Jury,40
Gotham,Family Guy,87
Gotham,LA to Vegas,76
Gotham,Famous,95
Gotham,Brooklyn Nine-Nine,29
Gotham,APB FOX,24
Gotham,MORE FOX5,73
Gotham,Hotel Hell,69
Gotham,The Last Man on Earth,59
Gotham,Bob's Burgers,7
Gotham,My Kitchen Rules,49
WEEDIQUETTE,Superlibro,87
WEEDIQUETTE,Club 700 Hoy,6
Once Upon a Time in Wonderland,The View,86
Once Upon a Time in Wonderland,Mixology,60
Once Upon a Time in Wonderland,The Bachelorette,47
Once Upon a Time in Wonderland,Betrayal,54
Once Upon a Time in Wonderland,Mind Games,24
Once Upon a Time in Wonderland,5 à 7,59
Once Upon a Time in Wonderland,Once Upon a Time,11
Once Upon a Time in Wonderland,Scandal,32
Once Upon a Time in Wonderland,The Neighbors,40
Once Upon a Time in Wonderland,Modern Family,37
Once Upon a Time in Wonderland,Back In The Game,36
Once Upon a Time in Wonderland,The Goldbergs,27
Once Upon a Time in Wonderland,Sense8,74
Once Upon a Time in Wonderland,Resurrection,41
Once Upon a Time in Wonderland,Revenge,7
Once Upon a Time in Wonderland,Motive,62
Once Upon a Time in Wonderland,Wife Swap,55
Once Upon a Time in Wonderland,Shark Tank,52
Once Upon a Time in Wonderland,The Middle,25
Once Upon a Time in Wonderland,Dancing with the Stars,49
Once Upon a Time in Wonderland,Trophy Wife,24
Once Upon a Time in Wonderland,Brickleberry,7
Once Upon a Time in Wonderland,Suburgatory,19
Once Upon a Time in Wonderland,Nashville,34
Once Upon a Time in Wonderland,Whodunnit?,93
Once Upon a Time in Wonderland,Pasión y Poder,70
Once Upon a Time in Wonderland,Bet on Your Baby,41
Once Upon a Time in Wonderland,Les Tutos,25
Once Upon a Time in Wonderland,Killer Women,11
Once Upon a Time in Wonderland,Secret Millionaire,19
Once Upon a Time in Wonderland,Last Man Standing,88
Once Upon a Time in Wonderland,General Hospital,24
Once Upon a Time in Wonderland,Mistresses,69
Once Upon a Time in Wonderland,Rookie Blue,69
Once Upon a Time in Wonderland,Super Fun Night,26
Once Upon a Time in Wonderland,The Taste,29
Once Upon a Time in Wonderland,Lucky 7,72
Once Upon a Time in Wonderland,The Chew,69
Once Upon a Time in Wonderland,Agents of S.H.I.E.L.D.,37
Once Upon a Time in Wonderland,Timeless,9
Once Upon a Time in Wonderland,Splash,15
Once Upon a Time in Wonderland,"""Bem amigo""",79
Once Upon a Time in Wonderland,WWE Superstars,85
Once Upon a Time in Wonderland,The Bachelor,39
Once Upon a Time in Wonderland,Castle,90
Occupation Double,Vol 920,23
Occupation Double,Salut Bonjour,31
Occupation Double,Destinées productions pixcom,67
Occupation Double,Accès illimité,71
Occupation Double,La Revista Sábado,12
Occupation Double,Signé M,54
星期二特写TuesdayReport,The Michael J. Fox Show,56
星期二特写TuesdayReport,前线追踪 FRONTLINE,77
星期二特写TuesdayReport,狮城有约 Hello Singapore,80
星期二特写TuesdayReport,焦点 Focus,88
星期二特写TuesdayReport,财经追击 Money Week,69
TVR,Duro de Domar,18
Adán y Eva,El Programa de Ana Rosa,87
When We Rise,DSDS - Deutschland sucht den Superstar,91
When We Rise,Let's Dance,78
When We Rise,Das Supertalent,51
When We Rise,Mitten im Leben,26
When We Rise,Die Puppenstars,13
Malhação,The Voice Brasil,40
Malhação,Wonder Showzen,23
Malhação,SuperStar,88
Malhação,BBB,46
SportsCenter,Jimmy Kimmel Live,45
SportsCenter,,36
SportsCenter,Nación ESPN2,28
SportsCenter,SportsNation,77
SportsCenter,SportsCenter ESPN,83
SportsCenter,Dream Job ESPN Deportes,23
SportsCenter,ESPN First Take,17
SportsCenter,SportsBeat,68
SportsCenter,Outside the Lines,70
SportsCenter,NFL on ESPN,29
SportsCenter,College GameDay,90
Upscale with Prentice Penny,Terra X,14
Upscale with Prentice Penny,ZDF-Fernsehgarten,90
Sister Wives,Counting On,8
Sister Wives,Cake Boss,61
Sister Wives,Leah Remini: It's All Relative,45
Sister Wives,"""Love  Lust or Run""",73
Sister Wives,Toddlers & Tiaras,80
Sister Wives,Kate Plus 8,11
Sister Wives,Philip K. Dick's Electric Dreams,22
Sister Wives,Miami Ink,52
Sister Wives,Four Weddings,19
Sister Wives,Extreme Couponing,74
Sister Wives,Say Yes to the Dress,20
Sister Wives,My Big Fat American Gypsy Wedding,89
Sister Wives,What Not to Wear,39
Sister Wives,LA Ink,69
Sister Wives,The State,21
Sister Wives,Silvana sin Lana,9
Sister Wives,Who Do You Think You Are?,27
Sister Wives,NY Ink,34
Sister Wives,"""Little People",19
Sister Wives,90 Day Fiance,18
Sister Wives,Visite,9
Sister Wives,Breaking Amish,36
Sister Wives,White Rabbit Project,71
Sister Wives,RDI Économie,13
Sister Wives,The Little Couple,65
Sister Wives,DC Cupcakes,7
Sister Wives,Long Island Medium,6
Who Wants To Be A Millionaire,Big Brother,94
Who Wants To Be A Millionaire,Survivor,86
Who Wants To Be A Millionaire,NCIS,52
Who Wants To Be A Millionaire,The Bold and the Beautiful,56
Who Wants To Be A Millionaire,JTBC 뉴스룸 팩트체크,69
Who Wants To Be A Millionaire,6abc Action News,81
Who Wants To Be A Millionaire,The Talk,53
Who Wants To Be A Millionaire,Let's Make A Deal,82
Who Wants To Be A Millionaire,The Price Is Right,85
Who Wants To Be A Millionaire,What's On 6,56
Who Wants To Be A Millionaire,Late Show with David Letterman,81
Who Wants To Be A Millionaire,,20
Who Wants To Be A Millionaire,General Hospital,30
Who Wants To Be A Millionaire,Person of Interest,42
Who Wants To Be A Millionaire,Life In Pieces,58
Who Wants To Be A Millionaire,Zoo,74
ไมค์ทองคำหมอลำฝังเพชร,Love It Or List It Australia,49
ไมค์ทองคำหมอลำฝังเพชร,El Chapo,86
ไมค์ทองคำหมอลำฝังเพชร,ตลก 6 ฉาก,82
ไมค์ทองคำหมอลำฝังเพชร,เท่ง โหน่ง วิทยาคม,22
ไมค์ทองคำหมอลำฝังเพชร,คนอวดผี,30
ไมค์ทองคำหมอลำฝังเพชร,Thailand's Got Talent,52
ไมค์ทองคำหมอลำฝังเพชร,แฟนพันธุ์แท้,57
Club 700 Hoy,Superlibro,51
Club 700 Hoy,The 700 Club,57
Club 700 Hoy,Vida Dura,16
Club 700 Hoy,Mundo Cristiano,85
Club 700 Hoy,Superbook,80
Poppy Cat,Dora the Explorer,88
Poppy Cat,Queer as Folk,70
Poppy Cat,Mini TFO,83
ZDF Morgenmagazin,ZDF heute-show,83
ZDF Morgenmagazin,MDR ZEITREISE,72
ZDF Morgenmagazin,ZDF log in,36
ZDF Morgenmagazin,NEO MAGAZIN ROYALE,83
ZDF Morgenmagazin,Human Giant,26
ZDF Morgenmagazin,Frontal21,79
ZDF Morgenmagazin,"""Elefant  Tiger & Co""",76
Polseres Vermelles,El club de la mitjanit,60
Polseres Vermelles,El Club de la Mañana - RTS,26
Polseres Vermelles,Generació Digital,27
Polseres Vermelles,APM?,41
Polseres Vermelles,Espai Internet TV3,83
Polseres Vermelles,La Riera,41
Polseres Vermelles,Merlí,37
Polseres Vermelles,Tria33,64
Polseres Vermelles,Crackòvia,26
Polseres Vermelles,Nit i dia,78
Polseres Vermelles,Els Matins,53
幻城 Ice Fantasy,GCB,79
幻城 Ice Fantasy,Body of Proof,54
幻城 Ice Fantasy,Suburgatory,79
幻城 Ice Fantasy,The Bachelorette,95
幻城 Ice Fantasy,Lost,6
幻城 Ice Fantasy,Bachelor in Paradise,65
幻城 Ice Fantasy,Castle,73
幻城 Ice Fantasy,Dancing with the Stars,67
幻城 Ice Fantasy,Happy Endings,95
幻城 Ice Fantasy,Pan Am,67
幻城 Ice Fantasy,Private Practice,39
幻城 Ice Fantasy,Once Upon a Time,67
幻城 Ice Fantasy,The Bachelor,51
幻城 Ice Fantasy,The Middle,75
幻城 Ice Fantasy,Modern Family,82
Grünwald Freitagscomedy,Heimatrauschen,70
Grünwald Freitagscomedy,kinokino,44
Grünwald Freitagscomedy,schlachthof,93
The Get Down,女人我最大,24
The Get Down,食尚玩家,84
The Get Down,上班這黨事,35
The Get Down,TVBS 國民大會,39
SVT Kulturnyheterna,WDR Lokalzeit aus Duisburg,88
SVT Kulturnyheterna,Babel,31
SVT Kulturnyheterna,Gomorron Sverige,38
SVT Kulturnyheterna,SVT Kortfilm,57
SVT Kulturnyheterna,K special,8
SVT Kulturnyheterna,Kobra,10
SVT Kulturnyheterna,SVT Humor,14
TV 2 Basketball,TV 2 Ishockey,24
TV 2 Basketball,TV 2 Badminton,31
TV 2 Basketball,TV 2 Håndbold,16
All In with Laila Ali,CBS Sunday Morning,36
All In with Laila Ali,Filles d'aujourd'hui,64
All In with Laila Ali,CBS Dream Team,79
All In with Laila Ali,CBS This Morning,69
NFL on ESPN,ESPN First Take,75
NFL on ESPN,Sunday Night Football on NBC,48
NFL on ESPN,SportsNation,18
NFL on ESPN,,6
HBO Game of Thrones BR,HBO True Blood Latinoamérica,37
HBO Game of Thrones BR,Game of Thrones,72
Music Day & ベストアーティスト,"""Bom dia Amazônia ",47
BBQ Brasil,Static Shock,82
BBQ Brasil,DC Cartoons,13
BBQ Brasil,Veronica Mars,93
BBQ Brasil,Pushing Daisies,36
BBQ Brasil,The New Adventures of Old Christine,77
BBQ Brasil,Lois & Clark,43
BBQ Brasil,The Flintstones,89
BBQ Brasil,MADtv,86
BBQ Brasil,Blade the Series,87
BBQ Brasil,Tom and Jerry,91
BBQ Brasil,Batman: The Animated Series,14
BBQ Brasil,Gilmore Girls,32
BBQ Brasil,Looney Tunes,28
BBQ Brasil,Everwood,52
BBQ Brasil,The Jetsons,48
BBQ Brasil,FRIENDS (TV Show),33
Canal Esport Club,Canal Football Club - CFC,78
Canal Esport Club,Le Meilleur du Hier,93
גולסטאר,אנחנו במפה,84
גולסטאר,הבורר,16
גולסטאר,חדשות הבידור,74
MTV Suspect,Sons of Anarchy,18
MTV Suspect,Justified,21
MTV Suspect,American Horror Story,27
MTV Suspect,The League,82
MTV Suspect,The Ultimate Fighter,38
MTV Suspect,Archer,46
MTV Suspect,It's Always Sunny in Philadelphia,33
Cedar Cove TV,Babylon 5,67
Cedar Cove TV,When Calls the Heart,54
Cedar Cove TV,Home & Family,38
Cedar Cove TV,"""Signed",89
Cedar Cove TV,Queen of the South,94
Supervivientes,Sábado Deluxe,54
Supervivientes,Welcome to the Family,44
Supervivientes,El Programa de Ana Rosa,27
Supervivientes,Pasapalabra,27
Supervivientes,Aída,7
Supervivientes,B&B,5
Supervivientes,Seitenblicke,65
Supervivientes,La Voz,74
Supervivientes,The Joey Canyon Show,50
Supervivientes,Todo el mundo es bueno,65
Supervivientes,Sálvame,42
Supervivientes,La que se Avecina,84
Supervivientes,Mujeres y hombres y viceversa,8
16 and Pregnant,I Just Want My Pants Back,37
16 and Pregnant,Teen Mom 3,23
16 and Pregnant,Teen Mom,91
16 and Pregnant,Teen Mom 2,54
Les Observateurs - France 24,The Stream,54
APB FOX,Wayward Pines,22
APB FOX,MasterChef,54
APB FOX,Houdini & Doyle,11
APB FOX,The X-Files,5
APB FOX,The Grinder,30
APB FOX,Superhuman,48
APB FOX,FOX Teen Choice Awards,48
APB FOX,The Exorcist FOX,9
APB FOX,Pitch,42
APB FOX,STAR,18
APB FOX,The Orville,45
APB FOX,Son of Zorn,34
APB FOX,Rosewood,67
APB FOX,The Mick,57
APB FOX,Living Biblically,91
APB FOX,Scream Queens,25
APB FOX,Bordertown,28
APB FOX,Shots Fired,28
APB FOX,New Year's Eve on FOX,14
APB FOX,New Girl,20
APB FOX,My Kitchen Rules,43
APB FOX,Party Over Here,18
APB FOX,The F Word,65
APB FOX,Prison Break,33
APB FOX,Grandfathered,60
APB FOX,Ellen's Game of Games,39
APB FOX,Lethal Weapon FOX,70
APB FOX,Empire,92
APB FOX,Ghosted,33
APB FOX,Second Chance,9
APB FOX,So You Think You Can Dance,50
APB FOX,Love Connection FOX,81
APB FOX,Showtime At The Apollo,46
APB FOX,The Simpsons,89
APB FOX,Glee,53
APB FOX,The Gifted,10
APB FOX,World’s Funniest,24
APB FOX,MasterChef Junior,71
APB FOX,Bones,65
APB FOX,Making History,50
APB FOX,Il en pense quoi Camille ?,92
APB FOX,Home Free FOX,95
APB FOX,Sleepy Hollow,92
APB FOX,The Resident,30
APB FOX,Lucifer,89
APB FOX,Hell's Kitchen,69
APB FOX,Girlboss,6
APB FOX,BOOM,83
APB FOX,Kicking & Screaming,17
APB FOX,Beat Shazam,34
APB FOX,24: Legacy,13
APB FOX,Cooper Barrett's Guide to Surviving Life,31
APB FOX,You The Jury,50
APB FOX,Family Guy,80
APB FOX,LA to Vegas,61
APB FOX,Famous,62
APB FOX,Brooklyn Nine-Nine,17
APB FOX,Coupled,76
APB FOX,Hotel Hell,64
APB FOX,The Last Man on Earth,31
APB FOX,Bob's Burgers,94
Jack Hanna's Wild Countdown,6abc Action News,31
Jack Hanna's Wild Countdown,Good Morning America,70
Jack Hanna's Wild Countdown,ABC7NY,40
Jack Hanna's Wild Countdown,Litton's Weekend Adventure,13
Jack Hanna's Wild Countdown,ABC 7 Chicago,5
Jack Hanna's Wild Countdown,The Wildlife Docs,43
Jack Hanna's Wild Countdown,First Coast News,78
Castle,Life of Kylie,33
Castle,The View,64
Castle,Mixology,79
Castle,Extreme Weight Loss,94
Castle,The Bachelorette,47
Castle,Don't Trust the B in Apt 23,51
Castle,A Series of Unfortunate Events,73
Castle,Geer en Goor,20
Castle,Guilt,61
Castle,Mind Games,65
Castle,Wipeout,33
Castle,Last Resort,74
Castle,My Generation,10
Castle,5 à 7,81
Castle,Once Upon a Time,92
Castle,Secret Millionaire,15
Castle,The Neighbors,94
Castle,Brickleberry,78
Castle,Back In The Game,79
Castle,Body of Proof,70
Castle,Sense8,16
Castle,Resurrection,46
Castle,Revenge,37
Castle,Betrayal,59
Castle,Motive,52
Castle,Wife Swap,69
Castle,V,13
Castle,Cooking With Jack,85
Castle,Malibu Country,29
Castle,Dancing with the Stars,22
Castle,The Taste,80
Castle,The Middle,70
Castle,Happy Endings,8
Castle,The Chew,46
Castle,Trophy Wife,88
Castle,Modern Family,27
Castle,Suburgatory,12
Castle,Happy Town,43
Castle,The Gates,76
Castle,Nashville,16
Castle,ABC7NY,36
Castle,Whodunnit?,54
Castle,666 Park Avenue,85
Castle,Better With You,6
Castle,Bet on Your Baby,63
Castle,Les Tutos,51
Castle,Ella es tu padre,50
Castle,The Goldbergs,82
Castle,Brothers and Sisters,20
Castle,Killer Women,42
Castle,Scandal,53
Castle,Detroit 1-8-7,38
Castle,Off the Map,75
Castle,General Hospital,21
Castle,Last Man Standing,35
Castle,Mistresses,65
Castle,Rookie Blue,89
Castle,Family Tools,50
Castle,Super Fun Night,42
Castle,Shark Tank,93
Castle,Lucky 7,25
Castle,Lost,66
Castle,Extreme Makeover Home Edition,22
Castle,Agents of S.H.I.E.L.D.,61
Castle,Timeless,91
Castle,Splash,46
Castle,"""Bem amigo""",20
Castle,No Ordinary Family,68
Castle,Scrubs,65
Castle,Private Practice,93
Castle,Pan Am,59
Castle,The List,76
Castle,Tin Star,82
Castle,Desperate Housewives,29
Castle,The Bachelor,53
Castle,WWE Superstars,74
L'Amour est aveugle,Confessions Intimes,40
L'Amour est aveugle,Secret Story,10
L'Amour est aveugle,LE ZAPPING,83
L'Amour est aveugle,Qui veut épouser mon fils ?,27
L'Amour est aveugle,Money Drop,12
Lance Et Compte,Fugueuse,22
Lance Et Compte,Papa,35
Lance Et Compte,Salut Bonjour,59
Lance Et Compte,Le Tricheur,89
The Wall,Ninja Warrior,92
The Wall,Hairspray Live,57
DSDS - Deutschland sucht den Superstar,WRAL Tar Heel Traveler,37
DSDS - Deutschland sucht den Superstar,Alles was zählt,85
DSDS - Deutschland sucht den Superstar,Mitten im Leben,16
DSDS - Deutschland sucht den Superstar,Papá a Toda Madre,53
DSDS - Deutschland sucht den Superstar,Bauer sucht Frau,48
DSDS - Deutschland sucht den Superstar,ESPN Polo,89
DSDS - Deutschland sucht den Superstar,RTL Nord,89
DSDS - Deutschland sucht den Superstar,Das Supertalent,31
DSDS - Deutschland sucht den Superstar,Punkt 12,64
DSDS - Deutschland sucht den Superstar,Die Puppenstars,46
DSDS - Deutschland sucht den Superstar,Let's Dance,86
DSDS - Deutschland sucht den Superstar,Unter Uns,52
DSDS - Deutschland sucht den Superstar,Ich bin ein Star - Holt mich hier raus!,44
DSDS - Deutschland sucht den Superstar,RTL Exclusiv,37
DSDS - Deutschland sucht den Superstar,Schwiegertochter gesucht,93
DSDS - Deutschland sucht den Superstar,Alarm für Cobra 11,19
DSDS - Deutschland sucht den Superstar,Doctor's Diary,93
DSDS - Deutschland sucht den Superstar,GZSZ Gute Zeiten schlechte Zeiten,31
WWE SmackDown Live,WWE Raw,58
WWE SmackDown Live,WWE NXT,23
Luck,True Blood,56
Luck,The Rap Game,46
Luck,Bubala Please,25
Luck,Deadwood,92
Luck,Game of Thrones,74
식샤를합시다,tvN 신서유기,64
식샤를합시다,SNL KOREA,52
식샤를합시다,응답하라 1988,37
식샤를합시다,드.디오,20
식샤를합시다,코미디빅리그,78
식샤를합시다,tvN 수요미식회,62
식샤를합시다,삼시세끼,56
식샤를합시다,tvN 집밥 백선생,75
식샤를합시다,tvN 문제적남자,69
Abendschau,Kontraste,39
Abendschau,Tatort,82
Abendschau,tagesschau,42
Abendschau,ttt - titel thesen temperamente,60
Abendschau,Brandenburg aktuell,56
Abendschau,Kesslers Expedition,89
Abendschau,Sandmann und Freunde,15
Abendschau,zibb,9
Abendschau,Polizeiruf 110,40
Going Deep with David Rees,CNN Encuentro,38
Going Deep with David Rees,CNN en Marcha,89
Natur exclusiv,Querbeet,61
Natur exclusiv,Unser Land,76
The Great British Bake Off,BBC Antiques Roadshow,14
The Great British Bake Off,Victoria Derbyshire,83
The Great British Bake Off,BBC Doctors,75
The Great British Bake Off,The Great British Sewing Bee,75
The Great British Bake Off,The Great Pottery Throw Down,7
The Guild,The Lizzie Bennet Diaries,83
The Guild,Streamy Awards,31
Cousu Main,Nouveau look pour une nouvelle vie,13
Cousu Main,The Great British Sewing Bee,22
Cousu Main,Les Reines du Shopping,18
Secret Story,Confessions Intimes,62
Secret Story,Qui veut épouser mon fils ?,60
Secret Story,Koh Lanta,69
Secret Story,The Voice : la plus belle voix,65
Secret Story,Money Drop,89
Secret Story,Danse avec les stars,23
One Born Every Minute,Sunday Brunch,46
One Born Every Minute,The Hotel,23
One Born Every Minute,Anastasia and Faye,36
WDR Lokalzeit aus Duisburg,Intresseklubben,85
WDR Lokalzeit aus Duisburg,Babel,51
WDR Lokalzeit aus Duisburg,SVT Melodifestivalen,87
WDR Lokalzeit aus Duisburg,WDR Lokalzeit Münsterland,73
WDR Lokalzeit aus Duisburg,Tiere suchen ein Zuhause,12
WDR Lokalzeit aus Duisburg,Wissen vor acht,28
WDR Lokalzeit aus Duisburg,SVT Kortfilm,41
WDR Lokalzeit aus Duisburg,SVT Robins,75
WDR Lokalzeit aus Duisburg,SVT Allsång på Skansen,56
WDR Lokalzeit aus Duisburg,WDR Lokalzeit aus Dortmund,58
WDR Lokalzeit aus Duisburg,Michael,23
Barter Kings on A&E,Join Or Die with Craig Ferguson,20
Barter Kings on A&E,Country Buck$ on A&E,28
